$DEPOT:ID;capacity
00001;67
08208;0
08569;20
08206;1
08207;6
$INITIALSTOPPOINT:ID;isLoadingstation;frequency
15;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008882, 01179652, 0889008883, 02818053, 0889008882, 01179653, 0889008884, 03145772, 0889008885, 03211273, 0889008569];[08890, 08890]
16;[0000108884, 03145772, 0889008885, 03211273, 0889008886, 01048600, 0889008271, 00983043, 0862308883, 00655364, 0863108631, 00655392, 0889000001];[08890]
17;[0000108884, 03145772, 0889008885, 03211273, 0889008882, 03014671, 0889008886, 02621465, 0889000001];[08890]
18;[0000108886, 01048604, 0889008881, 00065557, 0835708890, 0889008271, 00917529, 0895109362, 00917580, 0829608296, 00917531, 0895308951, 00917530, 0881209375, 00262155, 0889008889, 01310736, 0969809698, 00524321, 0889000001];[08890, 08890]
19;[0000108884, 03145752, 0889008880, 01114136, 0889008886, 02621470, 0889000001];[08890]
20;[0000108886, 01048604, 0889008881, 00065557, 0835708890, 0889008271, 00917529, 0895109362, 00917580, 0829608296, 00917531, 0895308951, 00917530, 0881209375, 00262155, 0889008884, 03145763, 0889000001];[08890, 08890]
21;[0000108890, 0889008884, 02031620, 0857708890, 0889008880, 00589842, 0889008886, 01048600, 0889008271, 00983043, 0862308883, 00655364, 0863108631, 00655392, 0889000001];[08890, 08890, 08890]
22;[0000108890, 0889008884, 02031620, 0857708890, 0889008880, 00589842, 0889008882, 03014671, 0889008886, 02621465, 0889000001];[08890, 08890, 08890]
23;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008888, 02949124, 0889008886, 02621456, 0889008882, 03014662, 0889008886, 01048579, 0889008569];[08890, 08890]
24;[0000108890, 0889008889, 04653066, 0918908521, 02490369, 0853308524, 02424839, 0889008882, 03014662, 0889008886, 01048579, 0889008886, 01048600, 0889008271, 00983043, 0862308883, 00655364, 0863108631, 00655392, 0889000001];[08890, 08890]
25;[0000108890, 0889008889, 04653066, 0918908521, 02490369, 0853308524, 02424839, 0889008882, 03014662, 0889008886, 01048579, 0889008882, 03014671, 0889008886, 02621465, 0889000001];[08890, 08890]
26;[0000108882, 03014671, 0889008886, 02621465, 0889008884, 03145776, 0889008885, 03211277, 0889000001];[08890]
27;[0856908568, 00655383, 0889008885, 03211267, 0889008378, 02686984, 0842908890, 0889008889, 01310744, 0969809698, 00524295, 0889008886, 01048593, 0889008429, 02228229, 0847908890, 0889008886, 02621462, 0889008886, 00458761, 0895108951, 00917537, 0881208569];[08890, 08890, 08890]
28;[0000108355, 00393219, 0839908399, 00327694, 0835708361, 00065584, 0889009148, 00720905, 0845908886, 02621455, 0889009375, 00262150, 0889000001];[08890, 08890]
29;[0820708883, 02818057, 0889008882, 01179658, 0889008361, 00065580, 0889008880, 01114136, 0889008886, 02621470, 0889008207];[08890]
30;[0000108884, 03145740, 0889008885, 03211271, 0889008884, 02031620, 0857708880, 00589842, 0889008883, 02818057, 0889008882, 01179658, 0889008361, 00065580, 0889000001];[08890]
31;[0000108884, 03145740, 0889008885, 03211271, 0889008882, 03014662, 0889008886, 01048579, 0889008884, 03145752, 0889008884, 03145776, 0889008885, 03211277, 0889000001];[08890]
32;[0820708883, 02818057, 0889008882, 01179658, 0889008361, 00065580, 0889008881, 00720908, 0863208632, 00720914, 0889008880, 00589862, 0889008207];[08890]
33;[0820608206, 01572871, 0821109375, 00262158, 0889008886, 02621460, 0889008888, 02949129, 0889008886, 02621466, 0889008206];[08890]
34;[0000108882, 03014671, 0889008886, 02621465, 0889008880, 01114136, 0889008886, 02621470, 0889000001];[08890]
35;[0000108884, 03145740, 0889008885, 03211271, 0889008883, 00655376, 0863108631, 00655372, 0889008882, 03014671, 0889008886, 02621465, 0889000001];[08890]
36;[0000108882, 03014671, 0889008886, 02621465, 0889008881, 00720908, 0863208632, 00720914, 0889008880, 00589862, 0889000001];[08890]
37;[0856908569, 01835010, 0864708913, 02293774, 0909408890, 0889008882, 03014671, 0889008886, 02621465, 0889008569];[08890]
38;[0000108884, 03145740, 0889008885, 03211271, 0889008884, 02031620, 0857708880, 00589842, 0889008888, 02949129, 0889008886, 02621466, 0889008886, 02621469, 0889008889, 01310778, 0929000001];[08890]
39;[0000108884, 03145740, 0889008885, 03211271, 0889008884, 02031620, 0857708880, 00589842, 0889008884, 03145752, 0889008884, 03145776, 0889008885, 03211277, 0889000001];[08890]
40;[0000109683, 03342339, 0849908355, 00393225, 0835708890, 0889008884, 03145774, 0889008885, 03211275, 0889008881, 00720908, 0863208632, 00720914, 0889008880, 00589862, 0889000001];[08890, 08890]
41;[0000108884, 03145740, 0889008885, 03211271, 0889008882, 03014662, 0889008886, 01048579, 0889008880, 01114136, 0889008886, 02621470, 0889000001];[08890, 08890]
42;[0000108884, 03145772, 0889008885, 03211273, 0889008320, 00851972, 0844408444, 00851995, 0831908355, 00393228, 0835708355, 00393229, 0836108890, 0889008889, 01310779, 0929008320, 00851976, 0844408444, 00851999, 0831908320, 00851978, 0844400001];[08890, 08890]
43;[0000108884, 03145740, 0889008885, 03211271, 0889008883, 00655376, 0863108631, 00655372, 0889008883, 02818057, 0889008882, 01179658, 0889008361, 00065580, 0889000001];[08890]
44;[0000108355, 00393219, 0839908399, 00327694, 0835708361, 00065584, 0889009148, 00720905, 0845908886, 02621455, 0889009375, 00262150, 0889008886, 01048614, 0889008889, 01310737, 0969800001];[08890, 08890]
45;[0000108884, 03145740, 0889008885, 03211271, 0889008883, 00655376, 0863108631, 00655372, 0889008888, 02949129, 0889008886, 02621466, 0889008886, 02621469, 0889008889, 01310778, 0929000001];[08890]
46;[0000108884, 03145740, 0889008885, 03211271, 0889008883, 00655376, 0863108631, 00655372, 0889008884, 03145752, 0889008884, 03145776, 0889008885, 03211277, 0889000001];[08890]
47;[0000108890, 0889008889, 01310749, 0969809698, 00524301, 0889008886, 01048609, 0889008880, 01114142, 0889008886, 01048614, 0889008889, 01310737, 0969800001];[08890, 08890, 08890, 08890]
48;[0000109222, 00655396, 0889008881, 00065540, 0835708358, 00262145, 0882608355, 00393217, 0835708890, 0889008886, 01048588, 0889008881, 00065543, 0835708361, 00065571, 0889008883, 02818054, 0889008882, 01179655, 0889008889, 01310749, 0969809698, 00524301, 0889008884, 03145761, 0889008887, 00262148, 0920308890, 0889008886, 01048612, 0889008385, 00786447, 0864700001];[08890, 08890, 08890, 08890, 08890]
49;[0000108890, 0889008889, 01310749, 0969809698, 00524301, 0889008886, 01048609, 0889008880, 01114142, 0889009110, 00917532, 0881200001];[08890, 08890, 08890]
