$DEPOT:ID;capacity
00001;79
$INITIALSTOPPOINT:ID;isLoadingstation;frequency
10;[0000108886, 02621442, 0889008882, 03014657, 0889008880, 01114116, 0889008264, 02686990, 0928908890, 0889008913, 02293774, 0909408890, 0889008880, 00589845, 0889008883, 00655363, 0863108631, 00655388, 0889000001];[08890, 08890, 08890, 08890]
11;[0000109698, 00524293, 0889008886, 02621450, 0889008916, 02687028, 0887508890, 0889008880, 01114146, 0889008886, 01048594, 0889008271, 00983041, 0862308890, 0889008885, 03276809, 0888508884, 03145751, 0889000001];[08890, 08890, 08890]
12;[0000108506, 00655400, 0889008271, 02883585, 0889008881, 01376257, 0838608890, 0889008884, 03145741, 0889008866, 02228228, 0847908890, 0889008889, 01310756, 0969809698, 00524325, 0889008885, 03276810, 0888508884, 03145757, 0889000001];[08890, 08890, 08890]
13;[0000108259, 01835022, 0886508890, 0889008880, 01114117, 0889008881, 00720897, 0863208890, 0889008880, 01114121, 0889008881, 00720899, 0863208890, 0889008884, 03145770, 0889008913, 02424834, 0885208890, 0889008880, 01114128, 0889008631, 00655381, 0889008885, 03276816, 0888508881, 00065553, 0835708361, 00065580, 0889000001];[08890, 08890, 08890, 08890, 08890, 08890]
14;[0000108812, 00917541, 0911008399, 00327682, 0839908890, 0889008886, 02621446, 0889008883, 01769475, 0850708890, 0889008884, 03145752, 0889008881, 00720908, 0863208632, 00720914, 0889008354, 00851974, 0844408880, 01114141, 0889000001];[08890, 08890, 08890, 08890]
15;[0000108525, 02097157, 0842908883, 02818061, 0889008844, 02687062, 0887508890, 0889008882, 03014669, 0889008886, 01048587, 0889008646, 00655390, 0889009144, 02687040, 0865208570, 02687056, 0867508890, 0889008880, 00589839, 0889008883, 00655376, 0863108890, 0889008880, 01114130, 0889008882, 01179658, 0889008883, 02818058, 0889008889, 01310776, 0929008890, 0889008880, 01114138, 0889008444, 00851997, 0831908880, 00589855, 0889008882, 03670018, 0914009140, 00065589, 0889008272, 05701634, 0889000001];[08890, 08890, 08890, 08890, 08890, 08890, 08890, 08890]
16;[0000108886, 01048582, 0889008881, 00065547, 0835708890, 0889008867, 02687002, 0891608890, 0889008882, 03014658, 0889008886, 01048589, 0889008648, 02687059, 0865908922, 06488066, 0889008883, 00655361, 0863108631, 00655397, 0889000001];[08890, 08890, 08890]
17;[0000108444, 00851984, 0835408881, 00065563, 0835708355, 00393233, 0835708890, 0889008884, 03145768, 0889008355, 00393218, 0835708747, 01507332, 0839508866, 02687060, 0914408890, 0889008886, 00458756, 0881208812, 00917556, 0911000001];[08890, 08890, 08890]
18;[0000108702, 02162691, 0838608812, 00917568, 0895408890, 0889008884, 03145769, 0889008875, 02687025, 0884408844, 02424835, 0887208890, 0889008884, 02031620, 0857708890, 0889008880, 00589842, 0889008880, 01114134, 0889008886, 02621469, 0889000001];[08890, 08890, 08890, 08890]
19;[0000108444, 00851986, 0835408333, 02293765, 0888708759, 03342340, 0820608890, 0889008880, 00589836, 0889008880, 01114126, 0889009110, 0911009375, 00262158, 0889008886, 02621460, 0889000001];[08890, 08890, 08890, 09110, 08890]
20;[0000109140, 00065561, 0889008385, 00786448, 0845908459, 00720912, 0889008260, 03342338, 0864208890, 0889008880, 00589863, 0889009190, 04653082, 0889008521, 02490373, 0852408890, 0889009144, 01835014, 0913908631, 00655372, 0889000001];[08890, 08890, 08890]
21;[0000109127, 01572868, 0910409104, 02293772, 0860308890, 0889008533, 03276801, 0888508884, 03145767, 0889008875, 02687030, 0884408890, 0889008888, 00458764, 0902408524, 02687041, 0886708890, 0889008880, 01114124, 0889008726, 01572875, 0877408890, 0889008885, 03211272, 0889008888, 02949135, 0889008886, 01048604, 0889008881, 00065557, 0835708890, 0889008886, 01048609, 0889008880, 01114142, 0889000001];[08890, 08890, 08890, 08890, 08890, 08890]
22;[0000109064, 02490374, 0889008888, 02555915, 0891308646, 01835012, 0856908659, 02686987, 0864808890, 0889008889, 01310725, 0969809698, 00524309, 0889008632, 00720909, 0889008885, 03276806, 0888508890, 0889008881, 00720903, 0863208632, 00720917, 0889008880, 01114136, 0889008886, 02621470, 0889000001];[08890, 08890, 08890, 08890]
23;[0000108951, 00917566, 0881208812, 00917517, 0936208951, 00917508, 0881208812, 00458768, 0889008212, 02293763, 0820608890, 0889008886, 01048593, 0889008429, 02228229, 0847908890, 0889008886, 02621462, 0889008886, 00458761, 0895108951, 00917537, 0881209110, 0911008320, 00851972, 0844408444, 00851995, 0831908355, 00393228, 0835708355, 00393229, 0836108890, 0889008884, 03145761, 0889008887, 00262148, 0920308890, 0889008886, 01048612, 0889008385, 00786447, 0864700001];[08890, 08890, 09110, 08890, 08890]
24;[0000108568, 00655383, 0889008320, 00851981, 0844408444, 00851989, 0835408889, 01310770, 0929008890, 0889008889, 01310755, 0969809698, 00524296, 0889008889, 01310753, 0970009700, 00524297, 0889008355, 00393227, 0839908399, 00327693, 0839908361, 00065583, 0889008888, 02949131, 0889000001];[08890, 08890, 08890, 08890, 08890]
25;[0000108884, 03145744, 0889008888, 01441793, 0889008354, 00851982, 0844408444, 00851990, 0835408880, 01114127, 0889000001];[08890, 08890, 08890]
26;[0000109379, 00458771, 0889008954, 01638404, 0900308777, 00720911, 0856708569, 01835009, 0907508890, 0889008889, 04653061, 0918908361, 00065577, 0889000001];[08890, 08890]
27;[0000108890, 0889008887, 00262147, 0920308890, 0889008886, 01048618, 0889008698, 01441801, 0889008206, 01572872, 0821109289, 02687063, 0826508884, 03145766, 0889000001];[08890, 08890, 08890]
28;[0000108886, 01048583, 0889008881, 00065593, 0835708890, 0889008889, 01310744, 0969809698, 00524295, 0889008631, 00655391, 0845808884, 03145733, 0889008355, 00393219, 0839908399, 00327694, 0835708361, 00065584, 0889008888, 02949138, 0889008886, 02621472, 0889000001];[08890, 08890, 08890, 08890]
29;[0000108890, 0889008624, 00983045, 0827208624, 02228227, 0889008888, 02555914, 0891308685, 01441795, 0869708726, 02687067, 0887508890, 0889008885, 03276804, 0888508429, 02687064, 0837808378, 02686979, 0874708747, 02687003, 0837808890, 0889008880, 01114145, 0889008392, 02687033, 0832308890, 0889008889, 01310765, 0908509085, 01310762, 0970009700, 00524312, 0889008865, 02752514, 0889008881, 00065575, 0835708890, 0889008922, 02687052, 0886708882, 01179656, 0889008883, 02818056, 0889008889, 01310774, 0929009290, 00524314, 0889008888, 06029321, 0856408562, 06029338, 0889000001];[08890, 08890, 08890, 08890, 08890, 09290]
